Codigo,Localidad
0,All
1,USAQUÉN
2,CHAPINERO
3,SANTA FÉ
4,SAN CRISTÓBAL
5,USME
6,TUNJUELITO
7,BOSA
8,KENNEDY
9,FONTIBÓN
10,ENGATIVA
11,SUBA
12,BARRIOS UNIDOS
13,TEUSAQUILLO
14,LOS MÁRTIRES
15,ANTONIO NARIÑO
16,PUENTE ARANDA
17,LA CANDELARIA
18,RAFAEL URIBE URIBE
19,CIUDAD BOLÍVAR
20,SUMAPAZ
